category,city,email,name,phones,products,site,social
Строительная компания,Московская область,,Эндбери,8 (800) 775-97-99,,zabivniesvai.ru,"https://twitter.com/andberi_svai,https://vk.com/andberi,https://www.facebook.com/andberi.svai/,https://www.instagram.com/andberi"
Строительная компания,Московская область,,Конструкция,+7 (495) 921-19-17,,constr.ru,
Строительная компания,Московская область,,Асг Техно Строй,+7 (495) 225-96-46,,asg-ts.ru,
Строительная компания,Московская область,,Наш дом,+7 (495) 526-22-44,,nashdom41.ru,"http://facebook.com/nashdom41,https://ok.ru/group/53395641663730,https://vk.com/stroynashdom,https://www.instagram.com/nashdom41"
Строительная компания,Московская область,,Петрович,+7 (499) 334-88-88,,moscow.petrovich.ru,"https://vk.com/petrovichstd,https://www.facebook.com/petrovichstd,https://www.instagram.com/petrovichstd,https://www.youtube.com/user/petrovichstd"
Металлопрокат,Брянская область,,ФТБ Металлопрокат,+7 (4832) 31-61-61,,ftbmetal.ru,
Цветной металл,Москва,,Прием цветмета и металлолома,+7 (906) 720-60-91,,metrazbor.ru,
Цветной металл,Москва,,Катметалл,+7 (499) 348-14-18,,katmetall.ru,
Цветной металл,Москва,,СНК Металл,+7 (909) 903-12-14,"Медный кабель,Черный лом,Медь",snk-metall.ru,"https://t.me/+79099031214,https://viber.click/79099031214,https://wa.me/79099031214"
Цветной металл,Москва,,Прием лома цветных металлов,+7 (926) 267-13-39,,vk.link,https://vk.com/redllom
Цветной металл,Москва,,Приём металлолома,+7 (925) 307-45-69,,,https://www.instagram.com/lompriem2018/
Цветной металл,Москва,,Металлолом МСК,+7 (991) 310-33-22,"Металлолом цена от 1тн,Медь микс,Латунь микс",mskmetallolom.ru,
Цветной металл,Москва,,Приём металлолома,+7 (925) 304-85-29,,priemmet.2gis.biz,"https://t.me/79253048529,https://viber.click/79253048529,https://vk.com/club187577825,https://wa.me/79253048529"
Цветной металл,Москва,,Пункт приема цветного металла,+7 (916) 567-66-35,,price-lom.ru,"https://viber.click/79165676635,https://vk.com/pricelomru,https://wa.me/79165676635"
Строительные материалы,Белгородская область,,Технодрев,+7 (4722) 77-71-31,,texnodrev.ru,"https://vk.com/texnodrev,https://www.facebook.com/texnodrev/?ref=bookmarks,https://www.instagram.com/texnodrev/,https://www.youtube.com/channel/UCSydHOFp-Cof18kCXcmo99A/videos"
Строительные материалы,Белгородская область,,Стройка,+7 (4722) 40-00-91,,www.ooostroika.ru,"https://vk.com/ooostroika,https://www.instagram.com/stroika_belgorod"
Строительные материалы,Белгородская область,,ГиперСтрой,+7 (919) 434-07-77,,www.belbaza31.ru,"http://facebook.com/belbaza31.ru,http://instagram.com/giperstroy,http://vk.com/giperstroy,https://www.youtube.com/channel/UCq9VTCZ_aT5a9DjT6KUEDSg"
Торгово-производственная компания,Белгородская область,,Промышленый,,,,
Торгово-производственная компания,Белгородская область,,"Диспак, торгово-производственная компания",,,dispak.ru,"https://vk.com/dispak_russia,https://www.facebook.com/dispak.russia"
Торгово-производственная компания,Белгородская область,,Бел-Керамика,+7 (4722) 36-21-21,,bel-keram.ru,"https://ok.ru/group/55224908316779,https://vk.com/belkeram,https://www.facebook.com/Бел-керамика-306137273448878/,https://www.instagram.com/brick_keram/"
Торгово-производственная компания,Белгородская область,,Строитель,+7 (4722) 59-38-33,,stroitel31.ru,
Торгово-производственная компания,Белгородская область,,Яковлевский ГОК,+7 (47244) 6-80-47,,,
Торгово-производственная компания,Белгородская область,,Белмолпродукт,+7 (4722) 21-13-37,,bmol.ru,
Торгово-производственная компания,Белгородская область,,Торг-Комплект,+7 (910) 321-11-22,,torgkom.org,
Торгово-производственная компания,Белгородская область,,Белгородская торгово-промышленная палата,+7 (4722) 26-89-50,,belgorod.tpprf.ru,"http://vk.com/beltpp31,http://www.youtube.com/user/tpprfru,https://twitter.com/tpprf_ru,https://www.facebook.com/btpp31/,https://www.instagram.com/tpprf/"
Торгово-производственная компания,Белгородская область,,Фабрика Упаковки,+7 (4722) 21-94-96,,upakfabrika.ru,
Торгово-производственная компания,Белгородская область,,МПЗ Агро-Белогорье,+7 (4722) 58-66-10,,,
Торгово-производственная компания,Белгородская область,,Белгородский консервный комбинат,+7 (4722) 20-02-20,,www.belkk.ru,http://youtube.com/channel/UC039KhheIrc9AfZB6mCmplA
Строительная компания,Белгородская область,,СтройГрупп,+7 (4722) 52-24-41,,,"https://www.facebook.com/groups/ctroygrupp,https://www.youtube.com/user/CtroyTorg"
Строительная компания,Белгородская область,,Каркас31,+7 (4722) 36-42-06,,www.karkas31.com,
Строительная компания,Белгородская область,,ЭкоТехСтрой,+7 (4722) 37-33-90,,экотехстрой.рф,https://www.youtube.com/channel/UCujSf8M1PV8HG91U9Up57Ew
Строительная компания,Белгородская область,,Мадерна,+7 (991) 315-07-14,,bel-dom-stroy.ru,
Строительная компания,Белгородская область,,Палладио,8 (800) 250-13-24,,palladio31.ru,"https://vk.com/palladio31,https://www.facebook.com/pg/palladiobelgorod,https://www.instagram.com/palladio31,https://www.youtube.com/channel/UCEpykV2A1lMOZ7PENqN_CoA"
Строительная компания,Белгородская область,,Титан-Строй,+7 (4722) 20-05-00,,titanst.ru,"https://ok.ru/titanstroy,https://vk.com/titanst,https://www.instagram.com/titan_stroy31/,https://www.youtube.com/channel/UC-6pDy3dXqpgI8eJH2wxFrQ"
Строительная компания,Белгородская область,,Строй Опт,+7 (4722) 56-96-00,,stroiopt31.ru,https://vk.com/stroiopt31
Строительная компания,Белгородская область,,СтройДизайн,+7 (4722) 73-23-72,"Проект одноэтажного дома с террасой 00-84,Проект одноэтажного дома с мансардой и верандой 03-75,Проект одноэтажного дома с террасой 03-72",stroy-dizayn.ru,"https://ok.ru/stroydizay,https://vk.com/stroy_dizayn,https://www.facebook.com/groups/stroy.dizayn,https://www.instagram.com/stroy_dizayn/,https://www.youtube.com/channel/UClYlJXCNWlA0xqwOKZ1zF9w"
Строительная компания,Белгородская область,,Оникс,+7 (4722) 28-91-43,,www.skoniks.ru,
Строительная компания,Белгородская область,,Стройинжиниринг,+7 (4725) 47-34-88,,sdom31.ru,https://www.instagram.com/stroyengineering/
Строительная компания,Белгородская область,,ВсемирСтрой,+7 (960) 621-17-45,,vsemirstroy.ru,
Металлопрокат,Белгородская область,,Сталепромышленная компания,8 (800) 700-01-23,,belgorod.spk.ru,"http://facebook.com/spkgroup,http://ok.ru/aospk,http://vk.com/aospk"
Металлопрокат,Белгородская область,,Завод Бэмс,+7 (915) 566-69-33,,www.bems887.ru,https://www.facebook.com/bems887
Металлопрокат,Белгородская область,,Строительный магазин,,,,
Металлопрокат,Белгородская область,,Статус Строй,+7 (920) 204-59-10,,,
Металлопрокат,Белгородская область,,Ковторг,+7 (951) 769-73-30,,kovtorg.ru,"https://ok.ru/kovtorg,https://vk.com/kovtorg,https://wa.me/79517697330,https://www.instagram.com/kovtorg,https://www.youtube.com/channel/UClxszLviGSDLpkXjQYu6jQQ"
Металлопрокат,Белгородская область,,Строй с нами,+7 (919) 434-94-55,,stroy-31.ru,
Металлопрокат,Белгородская область,,Импульс,+7 (4722) 56-96-46,,impuls07.ru,
Металлопрокат,Белгородская область,,Металлоторг,+7 (4725) 46-95-40,,www.metallotorg.ru,
Металлопрокат,Белгородская область,,Корпорация Металлинвест,+7 (4725) 42-48-54,,metplus-osk.ru,
Цветной металл,Московская область,,Сагамет,+7 (925) 921-06-74,,,"https://t.me/+79260071648,https://viber.click/79260071648,https://wa.me/79260071648"
Цветной металл,Московская область,,Сплав,+7 (966) 666-39-87,,,https://instagram.com/metallolomnakhabino?igshid=tc1h02hr7z6u
Цветной металл,Московская область,,Прием Лома,+7 (966) 666-42-04,,,https://wa.me/79262413377
Цветной металл,Московская область,,Пункт приёма лома чёрного и цветного металлов,+7 (965) 153-24-66,"Медь (разносортная),Латунь,Лом чёрных металлов",,
Цветной металл,Московская область,,Пункт приёма черных и цветных металлов,+7 (915) 138-06-95,,,"https://viber.click/89151380695,https://vk.com/club186454427,https://wa.me/89151380695"
Чёрный металлопрокат,Московская область,,Металл база,+7 (903) 524-71-71,,baza-metall24.ru,
Чёрный металлопрокат,Московская область,,Металлобаза Пром-Металл,+7 (985) 557-02-97,,prmetall.ru,
Чёрный металлопрокат,Московская область,,Стальные решения,+7 (985) 604-44-71,,stalniereshenia.ru,
Чёрный металлопрокат,Московская область,,Металлопрокат-Гост,+7 (916) 720-28-16,,,
Чёрный металлопрокат,Московская область,,Металлобаза Onemetall,+7 (916) 017-80-71,,onemetall.ru,
Чёрный металлопрокат,Московская область,,Металлобаза,+7 (915) 348-82-48,,,
Чёрный металлопрокат,Московская область,,Весь Металл,+7 (968) 518-70-99,,,https://wa.me/79685187099
Чёрный металлопрокат,Московская область,,Русторг,+7 (495) 122-24-20,,zakupaemnelikvidi.ru,
Чёрный металлопрокат,Московская область,,Инокспоинт Групп,+7 (495) 369-33-80,,www.inoxpoint.ru,"http://instagram.com/inoxpoint_official,http://vk.com/inoxpoint,https://twitter.com/inoxpoint,https://www.facebook.com/inoxpoint,https://youtube.com/channel/UC0EsGX8ojOiNG6aLioV6yoA"
Чёрный металлопрокат,Московская область,,Прод-Металл,+7 (985) 114-26-98,,prod-metall.ru,
Чёрный металлопрокат,Московская область,,Металлстрой,+7 (495) 640-68-58 [object Object],,metalstroy-mk.ru,"https://www.facebook.com/metalstroymk,https://www.youtube.com/channel/UCiKTa1Dm9BhFLgF5lMUzWgw/about?view_as=subscriber"
Строительные материалы,Московская область,,Владимирский тракт,+7 (495) 744-17-22,,vltrakt.ru,"http://youtube.com/channel/UC_B-U_2wU57mYXClUoQs06w,https://facebook.com/vladimirskitrakt,https://twitter.com/vltrakt,https://vk.com/vltrakt,https://www.instagram.com/vltrakt_official"
Строительные материалы,Московская область,,Леруа Мерлен,8 (800) 700-00-99,,leroymerlin.ru,"https://ok.ru/leroymerlin,https://twitter.com/_LeroyMerlin,https://vk.com/leroy_merlin,https://www.facebook.com/LeroyMerlinRussia,https://www.instagram.com/leroymerlin_lubertsy/,https://www.youtube.com/user/LeroyMerlinRu"
Строительные материалы,Московская область,,Экономстрой,+7 (495) 565-41-65,,www.ekonomstroy.ru,"https://ok.ru/group/55134433509481,https://vk.com/ekonomstroy_mo,https://www.facebook.com/ekonomstroy,https://www.instagram.com/ekonomstroy.ru/"
Строительные материалы,Московская область,,Арт-строй,+7 (903) 546-95-53,,moskva.arttn.ru,"http://instagram.com/art_stroy,http://vk.com/arttn"
Строительные материалы,Московская область,,Карет-Строй 24,+7 (495) 018-67-67,,karet-stroy24.ru,"https://vk.com/karetstroy,https://wa.me/79996776760,https://www.instagram.com/karetstroy/"
Строительные материалы,Московская область,,Zv. Market,+7 (499) 642-36-92,,zv.market,"https://ok.ru/group/55484744335372,https://www.facebook.com/market.zv,https://www.instagram.com/zv.market,https://www.youtube.com/channel/UCaQpAChmUYTDXWWa8kaxH9A"
Строительные материалы,Московская область,,Петрович,+7 (499) 334-88-88,,moscow.petrovich.ru,"https://vk.com/petrovichstd,https://www.facebook.com/petrovichstd,https://www.instagram.com/petrovichstd,https://www.youtube.com/user/petrovichstd"
Торгово-производственная компания,Московская область,,Мытищинская торгово-промышленная палата,+7 (495) 510-31-34,,mytischi.tpprf.ru,"http://twitter.com/tpprf_ru,http://vk.com/tpprf,http://www.facebook.com/tpprf,http://www.youtube.com/user/tpprfru,https://www.instagram.com/tpprf/"
Торгово-производственная компания,Московская область,,ТПК Контакт,+7 (495) 728-80-99,,tpk-kontakt.ru,
Торгово-производственная компания,Московская область,,ПрофТорг,8 (800) 555-69-93,"Вешало ""Лофт"" для одежды одноярусное регулируемое с подиумом LT-0022,Вешало для одежды одноярусное из квадратного профиля СТ-001 S,Стойка вешалка (вешало) напольная для одежды Бэст-1303 /1503",pf-torg.ru,"http://instagram.com/pf_torg,https://ok.ru/group/51968029360346"
Торгово-производственная компания,Московская область,,Производственно-торговая фирма Бетон,+7 (985) 303-00-30,,ptf-beton.ru,
Торгово-производственная компания,Московская область,,ЛКМ Торг,8 (800) 550-40-51,,lkmtorg.ru,
Торгово-производственная компания,Московская область,,Славянская торгово-промышленная компания,+7 (495) 580-83-45,,www.slavtpk.ru,https://www.youtube.com/channel/UCK3sKwRcsW6pwKm-dvLA4mA?view_as=subscriber
Торгово-производственная компания,Московская область,,Производственно-торговая компания ЗВТ,+7 (495) 212-20-11 [object Object],,www.tpzvt.ru,
Торгово-производственная компания,Московская область,,ТПК,+7 (495) 660-87-90,,,
Торгово-производственная компания,Московская область,,МеткомЦентр,+7 (499) 653-58-78,,metcomcenter.ru,https://www.facebook.com/metcomcenter
Торгово-производственная компания,Брянская область,,Брянские полуфабрикаты,+7 (4832) 55-55-57,,pfb32.ru,
Торгово-производственная компания,Брянская область,,БЗТпА,+7 (4832) 32-20-22,,bztpa.ru,
Торгово-производственная компания,Брянская область,,Транспортно-промышленная компания,+7 (4832) 32-03-21,,oootpk32.ru,
Строительная компания,Брянская область,,Спектр Брянск Строй,+7 (4832) 30-36-60,,,
Строительная компания,Брянская область,,Брянский завод крупнопанельного домостроения,+7 (4832) 58-19-32,,www.ukbzkpd.ru,
Строительная компания,Брянская область,,Управление капитального строительства Брянской области,,,www.dsbrobl.ru,"https://vk.com/public170331968,https://www.instagram.com/architecture_32/,https://www.ok.ru/group/55746307358742"
Строительная компания,Брянская область,,Монтаж-Строй Брянск,+7 (4832) 59-02-30,,oooms32.ru,http://vk.com/club80161795
Строительная компания,Брянская область,,Государственная строительная инспекция Брянской области,+7 (4832) 74-21-03,,www.gsi32.ru,
Строительная компания,Брянская область,,СК Панорама,+7 (919) 192-48-00,"Бетон, гранит и конструкции из них,Очистка кирпича (фасада),Очистка дерева",panorama-32.ru,
Строительная компания,Брянская область,,БрянскСтальКонструкция,+7 (920) 838-61-08,,bsklstk.ru,https://vk.com/bsklstk/
Строительная компания,Брянская область,,ГК Инстрой,+7 (4832) 26-08-32,,www.instroy-bryansk.ru,
Строительная компания,Брянская область,,БрянскГрадоСтроитель,+7 (4832) 52-61-60,,bgs32.ru,
Строительная компания,Брянская область,,Брянская строительная компания,+7 (4832) 33-38-03,,bsk-32.ru,"http://instagram.com/bkgsgarant32,http://vk.com/airportbsk32,https://ok.ru/group/55708131852315"
Металлопрокат,Брянская область,,Линия Металла,+7 (905) 177-00-67,,liniay-metalla.ru,http://vk.com/stalgroup
Металлопрокат,Брянская область,,Карат,+7 (953) 279-11-11,"Виниловый сайдинг ГК ""Карат""САЙДИНГ классика длина 3,85 0,89м2,Доборные элементы ГК ""Карат"" Ендова внутренняя 625 мм п/э 0,4,Металлочерепица ГК ""Карат"" Заглушка конька полукруглого полиэстер матовый 35 мкр. (Deep Mat) 0,45 мм",www.gkkarat.ru,"http://youtube.com/channel/UCHssJKUDNt4vyUrPT7iCJZg,https://ok.ru/group/58730079781104,https://vk.com/gk.karat,https://www.instagram.com/karat.gk"
Металлопрокат,Брянская область,,Комплектстрой,+7 (905) 176-55-33,,,
Металлопрокат,Брянская область,,ТриоСтрой,+7 (953) 295-85-38,,triometal.ru,https://vk.com/triometal
Металлопрокат,Брянская область,,Самоделкин,+7 (4832) 44-44-45,,gros-stroi.ru,"http://facebook.com/groups/180390255816847,http://vk.com/gros_stroi_bryansk"
Металлопрокат,Брянская область,,Металлопрокат,+7 (4832) 52-70-07,,,
Металлопрокат,Брянская область,,Металлобаза,+7 (4832) 56-57-10,,metallobaza32.ru,https://vk.com/club178587533
Металлопрокат,Брянская область,,Металлопрокат,+7 (930) 820-06-40,,metalloprokat32.ru,
Металлопрокат,Брянская область,,Металлобаза,+7 (4832) 57-16-84,,metallobaza32.ru,https://vk.com/public178587533
Металлопрокат,Брянская область,,Металлоторг,+7 (4832) 72-67-67,,www.metallotorg.ru,"http://vk.com/metallotorgbryansk,http://www.ok.ru/metallotorgbryansk,https://www.facebook.com/MetallotorgBryansk"
Цветной металл,Белгородская область,,ЛомовЪ,+7 (4722) 77-78-59,Черный лом от,belgorod.priem-metallolom.com,https://vk.com/public188773973
Цветной металл,Белгородская область,,БелТехМет,+7 (919) 221-38-44,,,
Цветной металл,Белгородская область,,БелТехМет,+7 (47244) 4-54-11,,,
Чёрный металлопрокат,Белгородская область,,Лом Инвест,+7 (4722) 77-79-31,Черный лом от,belgorod.lom-invest.ru,https://vk.com/priem_loma_v_belgorode
Чёрный металлопрокат,Белгородская область,,МеталлПромМаш,+7 (4722) 41-01-50,,www.mpm31.ru,
