category,city,email,name,phones,products,site,social
Строительная компания,Москва,,Микстулс,+7 (499) 377-77-01,"Герметик PENOSIL General силиконовый многофункциональный белый 310мл,РИЧ Пена 65 эко профи 900гр,Перфоратор электрический RHV-1100-26, SDS-plus, 1100Вт, 4Дж, 3 реж.// Denzel",mixtools.ru,"http://www.instagram.com/mixtools_msk,https://vk.com/mixtoolsmsk"
Строительная компания,Москва,,Терем Хаус,+7 (926) 146-07-47,,tm-house.ru,https://www.instagram.com/terem_house
Строительная компания,Москва,,Свод-Строй,+7 (495) 984-82-74,,www.svod.ru,"https://instagram.com/svod_stroy,https://ok.ru/ooosksvods,https://vk.com/svod_stroy,https://www.facebook.com/svod.ru"
Строительная компания,Москва,,Гранель,+7 (499) 577-01-68,,www.granelle.ru,"https://twitter.com/@gk_granelle,https://vk.com/granelle_group,https://www.facebook.com/granelle.ru,https://www.instagram.com/gk_granelle,https://www.youtube.com/channel/UCxrNN-zjDh74HfWm5A9Plrw"
Строительная компания,Москва,,Хонка,+7 (495) 921-30-01,,www.honka.ru,"https://vk.com/honka,https://www.facebook.com/205372702810686,https://www.instagram.com/honka_russia,https://www.youtube.com/channel/UCYCUU-j-GuBMe1VMgCM4a7Q"
Металлопрокат,Москва,,Трубная металлургическая компания,+7 (495) 775-76-00,,tmk-group.ru,"http://instagram.com/tmk_group,http://twitter.com/TMKgroup,http://www.youtube.com/user/OAOTMK,https://facebook.com/tmkgroupru"
Металлопрокат,Москва,,Рекара,+7 (495) 136-32-54,,moscow.rekara.info,
Металлопрокат,Москва,,Металл-Энергия,+7 (495) 120-09-10,,www.metall-energy.ru,"http://twitter.com/metallenergy,http://vk.com/metallenergy,https://www.facebook.com/metallenergy,https://www.instagram.com/metallenergy"
Металлопрокат,Москва,,Металл Плюс Москва,+7 (926) 000-92-88,,metallplus.com,"https://viber.click/89272533955,https://vk.com/metallplusmsk,https://wa.me/89272533955,https://www.facebook.com/metallplusmsk,https://www.instagram.com/metallplus"
Металлопрокат,Москва,,Атис Сталь металлопрокат,+7 (499) 404-15-06,,www.atissteel.ru,"http://facebook.com/компания-атис-сталь-1626316267680978,http://vk.com/atissteel,https://ok.ru/group/59494860718288"
Металлопрокат,Москва,,СМЦ Металлпром,,,www.metallcore.ru,"http://vk.com/m24core,https://www.instagram.com/mcore77/"
Металлопрокат,Москва,,Северсталь Маркет,8 (800) 350-59-63,,market.severstal.com,https://vk.com/severstalmarket
Металлопрокат,Москва,,Группа Компаний Феникс,+7 (495) 249-90-93,,gkfenix.ru,
Металлопрокат,Москва,,ГК Прочная Сталь,+7 (499) 938-49-24,,metallurg-moskva.ru,"https://www.facebook.com/prochnayastal,https://www.instagram.com/prochnaya_stal"
Металлопрокат,Москва,,Русевросталь,+7 (966) 666-48-29,,rusevrosteel.ru,"https://viber.click/79099535381,https://vk.com/rusevrosteel,https://wa.me/79099535381,https://www.instagram.com/rusevrosteel,https://www.youtube.com/channel/UCkV8kZ2yb-6EQhLmqEe60TA"
Строительные материалы,Московская область,,Карет-Строй 24,+7 (495) 018-67-67,,karet-stroy24.ru,"https://vk.com/karetstroy,https://wa.me/79996776760,https://www.instagram.com/karetstroy/"
Торгово-производственная компания,Московская область,,Мытищинская торгово-промышленная палата,+7 (495) 510-31-34,,mytischi.tpprf.ru,"http://twitter.com/tpprf_ru,http://vk.com/tpprf,http://www.facebook.com/tpprf,http://www.youtube.com/user/tpprfru,https://www.instagram.com/tpprf/"
Торгово-производственная компания,Московская область,,ТПК Контакт,+7 (495) 728-80-99,,tpk-kontakt.ru,
Торгово-производственная компания,Московская область,,Пентан,+7 (495) 545-01-55,,pentan.ru,
Торгово-производственная компания,Московская область,,ПрофТорг,8 (800) 555-69-93,"Вешало ""Лофт"" для одежды одноярусное регулируемое с подиумом LT-0022,Вешало для одежды одноярусное из квадратного профиля СТ-001 S,Стойка вешалка (вешало) напольная для одежды Бэст-1303 /1503",pf-torg.ru,"http://instagram.com/pf_torg,https://ok.ru/group/51968029360346"
Торгово-производственная компания,Московская область,,Производственно-торговая фирма Бетон,+7 (985) 303-00-30,,ptf-beton.ru,
Торгово-производственная компания,Московская область,,Славянская торгово-промышленная компания,+7 (495) 580-83-45,,www.slavtpk.ru,https://www.youtube.com/channel/UCK3sKwRcsW6pwKm-dvLA4mA?view_as=subscriber
Торгово-производственная компания,Московская область,,Производственно-торговая компания ЗВТ,+7 (495) 212-20-11 [object Object],,www.tpzvt.ru,
Торгово-производственная компания,Московская область,,ТПК,+7 (495) 660-87-90,,,
Торгово-производственная компания,Московская область,,МеткомЦентр,+7 (499) 653-58-78,,metcomcenter.ru,https://www.facebook.com/metcomcenter
Торгово-производственная компания,Московская область,,Производственно-торговая компания Арго,+7 (499) 753-33-40,,pk-argo.ru,"https://vk.com/pk.argo,https://wa.me/79031978167,https://www.facebook.com/companyArgo,https://www.instagram.com/argo_towel_rails/,https://www.youtube.com/channel/UCBMgb9wLl7PRfGce2FpZ1Yw"
Строительная компания,Московская область,,Веста-СФ,+7 (495) 380-05-45,,www.vesta-sf.ru,
Строительная компания,Московская область,,Эндбери,8 (800) 775-97-99,,zabivniesvai.ru,"https://twitter.com/andberi_svai,https://vk.com/andberi,https://www.facebook.com/andberi.svai/,https://www.instagram.com/andberi"
Строительная компания,Московская область,,Конструкция,+7 (495) 921-19-17,,constr.ru,
Строительная компания,Московская область,,ПБК-Плюс Дома,8 (800) 555-21-96,,pbk-doma.ru,"http://youtube.com/channel/UCPwxeX5NYXGbSEW4lDIpo0g,https://vk.com/pbk_plus_doma,https://www.facebook.com/pbkdoma,https://www.instagram.com/pbk_plus_doma"
Строительная компания,Московская область,,ТопДом,+7 (499) 938-87-32,,www.topdom.info,"https://twitter.com/TopDomRu,https://vk.com/topdom,https://www.facebook.com/topdom.ru,https://www.instagram.com/topdom.vip,https://www.youtube.com/topdoms"
Строительная компания,Московская область,,Fresh Wood,+7 (915) 466-00-60,,fresh-wood.ru,https://www.instagram.com/fresh.wood.ru/
Строительная компания,Московская область,,Промышленник,8 (800) 200-25-90,,msk.prom23.ru,"https://www.facebook.com/llc.prom23.ru,https://www.instagram.com/prom23.ru,https://www.youtube.com/user/prom23ru"
Строительная компания,Московская область,,Березовец,+7 (495) 115-08-08,,www.berezovec.ru,"https://vk.com/berezovec_ru,https://wa.me/74951150808,https://www.facebook.com/gkberezovec.ran/,https://www.instagram.com/gk_berezovec/,https://www.youtube.com/channel/UCngrEAR7bn0R0n27DR_3DkA"
Строительная компания,Московская область,,Петрович,+7 (499) 334-88-88,,moscow.petrovich.ru,"https://vk.com/petrovichstd,https://www.facebook.com/petrovichstd,https://www.instagram.com/petrovichstd,https://www.youtube.com/user/petrovichstd"
Металлопрокат,Московская область,,Брок-Инвест-Сервис,+7 (495) 980-98-80,,www.brokinvest.ru,
Металлопрокат,Московская область,,МТК Сплав,+7 (495) 162-62-70,,www.mtk-splav.ru,https://www.instagram.com/mtk_splav_official
Металлопрокат,Московская область,,Металлоторг,+7 (495) 727-22-27,,www.metallotorg.ru,
Металлопрокат,Московская область,,Робметаллсталь,+7 (495) 211-19-99,,robmetalstal.ru,"https://vk.com/club174600576,https://www.facebook.com/robmetallstal/,https://www.instagram.com/robmetallstal/"
Металлопрокат,Московская область,,Артметаллгрупп,8 (800) 350-99-17,,artmetalgroup.ru,"https://wa.me/79662228383,https://www.facebook.com/artmetalgroup/,https://www.instagram.com/artmetalgroup77/,https://youtube.com/channel/UCU4Uk_Hkp0dexJr-HcVGvyA"
Металлопрокат,Московская область,,Металлоторг,+7 (499) 938-67-20,,www.metallotorg.ru,
Металлопрокат,Московская область,,Металлобаза Солинг-Н Металлопрокат Сергиев Посад,+7 (495) 763-55-66,,soling-n.ru,"https://viber.click/74957635566,https://wa.me/79637635566,https://www.youtube.com/channel/UC3-xi1fe88D2mR1rbX1TvlQ?view_as=subscriber"
Цветной металл,Москва,,ЦветМетМосква,+7 (495) 266-67-41,,bablozalom.ru,
Цветной металл,Москва,,Приём цветных металлов,+7 (925) 304-85-29,,,"https://viber.click/89253048529,https://vk.com/club187577825,https://wa.me/89253048529"
Цветной металл,Москва,,Мослом,+7 (915) 243-29-27,,stock-lom.ru,"https://ok.ru/group45089165345023,https://vk.com/id517942496,https://www.facebook.com/profile.php?id=100034543010224,https://www.instagram.com/stocklom.ru/"
Цветной металл,Москва,,Регион Золото,8 (800) 250-56-62,,www.region-zoloto.ru,
Чёрный металлопрокат,Москва,,Сити Металл,+7 (495) 150-34-45 [object Object],,city-met.ru,"https://ok.ru/group/58093028835448,https://t.me/Citymetall_bot,https://twitter.com/city_met,https://vk.com/city_metall,https://wa.me/79013588897,https://www.facebook.com/citymetall,https://www.instagram.com/city_met"
Чёрный металлопрокат,Москва,,МеталлМаркет - черный и цветной металлопрокат,+7 (499) 390-38-99,,,
Чёрный металлопрокат,Москва,,Прием цветного металла,+7 (925) 451-45-90,"Медь,Латунь,Аллюминий",www.mskmetall.com,"https://viber.click/79254514590,https://wa.me/79254514590"
Чёрный металлопрокат,Москва,,Омега Металл,+7 (495) 334-14-01,,www.omegametall.ru,
Чёрный металлопрокат,Москва,,Русметпром,+7 (495) 132-00-92,,www.rusmetprom.ru,
Чёрный металлопрокат,Москва,,МетРенЦентр - металлопрокат,+7 (495) 796-69-82,,metallrc.ru,"https://viber.click/79267918110,https://vk.com/metallrc,https://www.facebook.com/groups/792125080953548/"
Чёрный металлопрокат,Москва,,Приём лома,+7 (925) 434-53-80,,prinimaemlom.ru,"https://vk.com/metalldot,https://wa.me/79254345380"
Чёрный металлопрокат,Москва,,Арсеналмет,+7 (495) 749-55-59,,reallom.ru,"https://t.me/+7,https://viber.click/79268389984,https://wa.me/79268389984"
Чёрный металлопрокат,Москва,,Элл Металл,+7 (495) 761-21-55,,ell-metall.ru,
Чёрный металлопрокат,Москва,,Приём цветных металлов,+7 (962) 956-84-83,,,"https://t.me/+79629568483,https://viber.click/79877373736,https://wa.me/79877373736"
Строительные материалы,Москва,,Стальные двери Torex,8 (800) 100-45-05,,torex.ru,"https://ok.ru/torex,https://vk.com/torex.official,https://www.facebook.com/torex.official,https://www.youtube.com/user/torexrussia"
Металлопрокат,Белгородская область,,Металлоторг,+7 (4722) 50-90-14,,www.metallotorg.ru,
Чёрный металлопрокат,Московская область,,Прод-Металл,+7 (985) 114-26-98,,prod-metall.ru,
Чёрный металлопрокат,Московская область,,Металлстрой,+7 (495) 640-68-58 [object Object],,metalstroy-mk.ru,"https://www.facebook.com/metalstroymk,https://www.youtube.com/channel/UCiKTa1Dm9BhFLgF5lMUzWgw/about?view_as=subscriber"
Строительные материалы,Московская область,,Perfekta,8 (800) 250-25-33,,perfekta.ru,"https://vk.com/perfekta_official,https://www.instagram.com/perfekta_official,https://www.youtube.com/c/perfekta-channel"
Строительные материалы,Московская область,,"Новый Рим, офис",+7 (495) 532-93-74,,novarome.ru,http://instagram.com/novarome.ru
Строительные материалы,Московская область,,Дмитрострой,+7 (495) 507-26-74,,dmitrostroy.ru,"https://viber.click/79255072674,https://wa.me/79255072674"
Строительные материалы,Московская область,,СтройДом,+7 (495) 542-63-44,,stroydomsale.ru,"https://vk.com/stroydomsale,https://www.instagram.com/stroydomsale/"
Строительные материалы,Московская область,,ТоргБетон,+7 (499) 938-58-47,,torg-beton.ru,
Строительные материалы,Московская область,,Трансметалл,+7 (499) 877-54-69,,trmet.ru,"https://facebook.com/transmetall,https://instagram.com/transmetall,https://vk.com/transmet,https://youtube.com/channel/UCh6ajCRQmjK9AGPwFcjOHyA"
Строительные материалы,Московская область,,Спец-бетон,+7 (958) 100-79-12,М350 в25 п4f200w10,vip-beton.pro,
Строительные материалы,Московская область,,Отделочные Материалы,+7 (985) 745-10-10,,td-om.ru,
Металлопрокат,Брянская область,,ФТБ Металлопрокат,+7 (4832) 31-61-61,,ftbmetal.ru,
Цветной металл,Москва,,Лом кабеля,+7 (925) 823-40-13,,util-avto.ru,
Цветной металл,Москва,,Торговый дом Галион,+7 (495) 981-17-75,,www.galiongroup.ru,
Цветной металл,Москва,,МеталлЦентр,+7 (967) 134-30-68,,life-lom.ru,https://wa.me/89671343068
Цветной металл,Москва,,Прием металла,+7 (495) 341-50-65,,stock-lom.ru,
Цветной металл,Москва,,Приём отходов цветного лома,+7 (917) 564-55-17,,,https://www.facebook.com/Цветной-металл-на-Киевской-209008430038001/?modal=admin_todo_tour
Чёрный металлопрокат,Белгородская область,,Металлобаза,,,,
Чёрный металлопрокат,Белгородская область,,Стальдепо,+7 (4722) 37-30-88,,staldepo.ru,"https://viber.click/79107373088,https://vk.com/staldepo,https://wa.me/79107373088,https://www.instagram.com/rezka__31,https://youtube.com/channel/UCD1L_0zRd_G_VlOlZy1vYGw"
Чёрный металлопрокат,Белгородская область,,Металл 31,+7 (980) 374-04-23,,metal31.ru,
Строительные материалы,Белгородская область,,Строитель,+7 (47248) 3-14-19,,,
Строительные материалы,Белгородская область,,СтройМастер,8 (800) 600-55-45,,stroymaster.shop,
Строительные материалы,Белгородская область,,Радуга,+7 (910) 360-07-94,,,
Строительные материалы,Белгородская область,,Властелин,+7 (4722) 58-48-15,,vlastelin31.ru,
Строительные материалы,Белгородская область,,Центр Строй,+7 (4722) 29-36-37,,ckbel.ru,"https://vk.com/ckbel,https://www.facebook.com/ckbel,https://www.instagram.com/centr.stroy"
Строительные материалы,Белгородская область,,Стройка,+7 (4722) 40-00-91,,www.ooostroika.ru,"https://vk.com/ooostroika,https://www.instagram.com/stroika_belgorod"
Строительные материалы,Белгородская область,,ГиперСтрой,+7 (919) 434-07-77,,www.belbaza31.ru,"http://facebook.com/belbaza31.ru,http://instagram.com/giperstroy,http://vk.com/giperstroy,https://www.youtube.com/channel/UCq9VTCZ_aT5a9DjT6KUEDSg"
Строительные материалы,Белгородская область,,БелСнаб,+7 (4722) 41-80-66,,бел-снаб31.рф,"https://viber.click/89803738007,https://vk.com/belsnab,https://wa.me/89803738007,https://www.instagram.com/belsnab31.ru/"
Торгово-производственная компания,Белгородская область,,"Диспак, торгово-производственная компания",,,dispak.ru,"https://vk.com/dispak_russia,https://www.facebook.com/dispak.russia"
Торгово-производственная компания,Белгородская область,,Бел-Керамика,+7 (4722) 36-21-21,,bel-keram.ru,"https://ok.ru/group/55224908316779,https://vk.com/belkeram,https://www.facebook.com/Бел-керамика-306137273448878/,https://www.instagram.com/brick_keram/"
Торгово-производственная компания,Белгородская область,,Строитель,+7 (4722) 59-38-33,,stroitel31.ru,
Торгово-производственная компания,Белгородская область,,Яковлевский ГОК,+7 (47244) 6-80-47,,,
Торгово-производственная компания,Белгородская область,,Белмолпродукт,+7 (4722) 21-13-37,,bmol.ru,
Торгово-производственная компания,Белгородская область,,Торг-Комплект,+7 (910) 321-11-22,,torgkom.org,
Торгово-производственная компания,Белгородская область,,Белгородская торгово-промышленная палата,+7 (4722) 26-89-50,,belgorod.tpprf.ru,"http://vk.com/beltpp31,http://www.youtube.com/user/tpprfru,https://twitter.com/tpprf_ru,https://www.facebook.com/btpp31/,https://www.instagram.com/tpprf/"
Торгово-производственная компания,Белгородская область,,Фабрика Упаковки,+7 (4722) 21-94-96,,upakfabrika.ru,
Торгово-производственная компания,Белгородская область,,МПЗ Агро-Белогорье,+7 (4722) 58-66-10,,,
Торгово-производственная компания,Белгородская область,,Белгородский консервный комбинат,+7 (4722) 20-02-20,,www.belkk.ru,http://youtube.com/channel/UC039KhheIrc9AfZB6mCmplA
Строительная компания,Белгородская область,,СтройГрупп,+7 (4722) 52-24-41,,,"https://www.facebook.com/groups/ctroygrupp,https://www.youtube.com/user/CtroyTorg"
Строительная компания,Белгородская область,,Каркас31,+7 (4722) 36-42-06,,www.karkas31.com,
Строительная компания,Белгородская область,,ЭкоТехСтрой,+7 (4722) 37-33-90,,экотехстрой.рф,https://www.youtube.com/channel/UCujSf8M1PV8HG91U9Up57Ew
Строительная компания,Белгородская область,,Мадерна,+7 (991) 315-07-14,,bel-dom-stroy.ru,
Строительная компания,Белгородская область,,Палладио,8 (800) 250-13-24,,palladio31.ru,"https://vk.com/palladio31,https://www.facebook.com/pg/palladiobelgorod,https://www.instagram.com/palladio31,https://www.youtube.com/channel/UCEpykV2A1lMOZ7PENqN_CoA"
Строительная компания,Белгородская область,,Титан-Строй,+7 (4722) 20-05-00,,titanst.ru,"https://ok.ru/titanstroy,https://vk.com/titanst,https://www.instagram.com/titan_stroy31/,https://www.youtube.com/channel/UC-6pDy3dXqpgI8eJH2wxFrQ"
Строительная компания,Белгородская область,,Строй Опт,+7 (4722) 56-96-00,,stroiopt31.ru,https://vk.com/stroiopt31
Строительная компания,Белгородская область,,СтройДизайн,+7 (4722) 73-23-72,"Проект одноэтажного дома с террасой 00-84,Проект одноэтажного дома с мансардой и верандой 03-75,Проект одноэтажного дома с террасой 03-72",stroy-dizayn.ru,"https://ok.ru/stroydizay,https://vk.com/stroy_dizayn,https://www.facebook.com/groups/stroy.dizayn,https://www.instagram.com/stroy_dizayn/,https://www.youtube.com/channel/UClYlJXCNWlA0xqwOKZ1zF9w"
Строительная компания,Белгородская область,,Оникс,+7 (4722) 28-91-43,,www.skoniks.ru,
Строительная компания,Белгородская область,,Стройинжиниринг,+7 (4725) 47-34-88,,sdom31.ru,https://www.instagram.com/stroyengineering/
Строительная компания,Белгородская область,,ВсемирСтрой,+7 (960) 621-17-45,,vsemirstroy.ru,
Металлопрокат,Белгородская область,,Сталепромышленная компания,8 (800) 700-01-23,,belgorod.spk.ru,"http://facebook.com/spkgroup,http://ok.ru/aospk,http://vk.com/aospk"
Металлопрокат,Белгородская область,,Завод Бэмс,+7 (915) 566-69-33,,www.bems887.ru,https://www.facebook.com/bems887
Металлопрокат,Белгородская область,,Строительный магазин,,,,
Металлопрокат,Белгородская область,,Статус Строй,+7 (920) 204-59-10,,,
Металлопрокат,Белгородская область,,Ковторг,+7 (951) 769-73-30,,kovtorg.ru,"https://ok.ru/kovtorg,https://vk.com/kovtorg,https://wa.me/79517697330,https://www.instagram.com/kovtorg,https://www.youtube.com/channel/UClxszLviGSDLpkXjQYu6jQQ"
Металлопрокат,Белгородская область,,Строй с нами,+7 (919) 434-94-55,,stroy-31.ru,
Металлопрокат,Белгородская область,,Импульс,+7 (4722) 56-96-46,,impuls07.ru,
Металлопрокат,Белгородская область,,Металлоторг,+7 (4725) 46-95-40,,www.metallotorg.ru,
Металлопрокат,Белгородская область,,Корпорация Металлинвест,+7 (4725) 42-48-54,,metplus-osk.ru,
Цветной металл,Московская область,,Сплав,+7 (966) 666-39-87,,,https://instagram.com/metallolomnakhabino?igshid=tc1h02hr7z6u
Цветной металл,Московская область,,Прием Лома,+7 (966) 666-42-04,,,https://wa.me/79262413377
Цветной металл,Московская область,,Пункт приёма лома чёрного и цветного металлов,+7 (965) 153-24-66,"Медь (разносортная),Латунь,Лом чёрных металлов",,
Цветной металл,Московская область,,Пункт приёма черных и цветных металлов,+7 (915) 138-06-95,,,"https://viber.click/89151380695,https://vk.com/club186454427,https://wa.me/89151380695"
Чёрный металлопрокат,Московская область,,Металл база,+7 (903) 524-71-71,,baza-metall24.ru,
Чёрный металлопрокат,Московская область,,Металлобаза Пром-Металл,+7 (985) 557-02-97,,prmetall.ru,
Чёрный металлопрокат,Московская область,,Стальные решения,+7 (985) 604-44-71,,stalniereshenia.ru,
Чёрный металлопрокат,Московская область,,Металлобаза Onemetall,+7 (916) 017-80-71,,onemetall.ru,
Чёрный металлопрокат,Московская область,,Металлопрокат-Гост,+7 (916) 720-28-16,,,
Чёрный металлопрокат,Московская область,,Арматура,+7 (926) 040-00-23,,,https://wa.me/79260400023
Чёрный металлопрокат,Московская область,,Металлобаза,+7 (915) 348-82-48,,,
Чёрный металлопрокат,Московская область,,Весь Металл,+7 (968) 518-70-99,,,https://wa.me/79685187099
Чёрный металлопрокат,Московская область,,Русторг,+7 (495) 122-24-20,,zakupaemnelikvidi.ru,
Чёрный металлопрокат,Московская область,,Инокспоинт Групп,+7 (495) 369-33-80,,www.inoxpoint.ru,"http://instagram.com/inoxpoint_official,http://vk.com/inoxpoint,https://twitter.com/inoxpoint,https://www.facebook.com/inoxpoint,https://youtube.com/channel/UC0EsGX8ojOiNG6aLioV6yoA"
Строительная компания,Брянская область,,Брянская строительная компания,+7 (4832) 33-38-03,,bsk-32.ru,"http://instagram.com/bkgsgarant32,http://vk.com/airportbsk32,https://ok.ru/group/55708131852315"
Металлопрокат,Брянская область,,Карат,+7 (953) 279-11-11,"Виниловый сайдинг ГК ""Карат""САЙДИНГ классика длина 3,85 0,89м2,Доборные элементы ГК ""Карат"" Ендова внутренняя 625 мм п/э 0,4,Металлочерепица ГК ""Карат"" Заглушка конька полукруглого полиэстер матовый 35 мкр. (Deep Mat) 0,45 мм",www.gkkarat.ru,"http://youtube.com/channel/UCHssJKUDNt4vyUrPT7iCJZg,https://ok.ru/group/58730079781104,https://vk.com/gk.karat,https://www.instagram.com/karat.gk"
Металлопрокат,Брянская область,,Комплектстрой,+7 (905) 176-55-33,,,
Металлопрокат,Брянская область,,ТриоСтрой,+7 (953) 295-85-38,,triometal.ru,https://vk.com/triometal
Металлопрокат,Брянская область,,Самоделкин,+7 (4832) 44-44-45,,gros-stroi.ru,"http://facebook.com/groups/180390255816847,http://vk.com/gros_stroi_bryansk"
Металлопрокат,Брянская область,,Металлопрокат,+7 (4832) 52-70-07,,,
Металлопрокат,Брянская область,,Металлобаза,+7 (4832) 56-57-10,,metallobaza32.ru,https://vk.com/club178587533
Металлопрокат,Брянская область,,Металлопрокат,+7 (930) 820-06-40,,metalloprokat32.ru,
Металлопрокат,Брянская область,,Металлобаза,+7 (4832) 57-16-84,,metallobaza32.ru,https://vk.com/public178587533
Металлопрокат,Брянская область,,Металлоторг,+7 (4832) 72-67-67,,www.metallotorg.ru,"http://vk.com/metallotorgbryansk,http://www.ok.ru/metallotorgbryansk,https://www.facebook.com/MetallotorgBryansk"
Цветной металл,Белгородская область,,ЛомовЪ,+7 (4722) 77-78-59,Черный лом от,belgorod.priem-metallolom.com,https://vk.com/public188773973
Цветной металл,Белгородская область,,Лом Инвест,+7 (4722) 77-79-31,Черный лом от,belgorod.lom-invest.ru,https://vk.com/priem_loma_v_belgorode
Цветной металл,Белгородская область,,БелТехМет,+7 (919) 221-38-44,,,
Цветной металл,Белгородская область,,БелТехМет,+7 (47244) 4-54-11,,,
Металлопрокат,Владимирская область,,Металлобаза,+7 (4922) 36-11-00,,metallobasa1.ru,
Металлопрокат,Москва,,ТД Сортпрокат,+7 (499) 642-39-63,,sort-prokat.ru,https://wa.me/89854372719
Цветной металл,Московская область,,Прием лома,+7 (925) 741-50-51,,,https://wa.me/79257415051
Цветной металл,Московская область,,Цвет Мет,+7 (929) 653-96-39,"Медь от,Алюминий от,АКБ от",,https://wa.me/79296539639
Цветной металл,Московская область,,Московские вторичные ресурсы,+7 (926) 888-59-53,"Алюминий от,Латунь от,Нержавейка от",lompriem.ru,https://wa.me/79268885953
Цветной металл,Московская область,,Прием Чёрных и Цветных Металлов,+7 (905) 558-46-43,,,"https://viber.click/79055584643,https://vk.com/tsvetmet750,https://wa.me/79055584643"
Цветной металл,Московская область,,Цветметаллресурс,+7 (495) 777-02-30,,www.cvetmetres.ru,
Цветной металл,Московская область,,Юрал,+7 (495) 221-75-38,,www.okrasim.ru,http://facebook.com/okrasim.ru
Цветной металл,Московская область,,Сагамет,+7 (925) 921-06-74,,,"https://t.me/+79260071648,https://viber.click/79260071648,https://wa.me/79260071648"
Строительные материалы,Брянская область,,ОБИ,+7 (4832) 37-87-77,,www.obi.ru,"https://ok.ru/obiru,https://vk.com/obiru,https://www.facebook.com/obirussia,https://www.instagram.com/obi.russia/,https://www.youtube.com/channel/UCW9EvxjrRSCKC6AE3Lt_uMA"
Строительные материалы,Брянская область,,Строительные товары,+7 (920) 602-39-84,,dsm.sait32.ru,https://www.instagram.com/http://dsm.sait32.ru/
Торгово-производственная компания,Брянская область,,Межрегиональная торгово-промышленная компания,+7 (4832) 72-66-27,,mezhregionprom.ru,
Торгово-производственная компания,Брянская область,,БЗТпА,+7 (4832) 32-20-22,,bztpa.ru,
