category,city,email,name,phones,site,social
Металлопрокат,Москва,info@metallurg-moskva.ru,Прочная Сталь,tel:+74954813841,metallurg-moskva.ru,"https://instagram.com/prochnaya_stal,https://facebook.com/prochnayastal"
Металлопрокат,Москва,,МеталлСервис,tel:+74956603505,www.mc-msk.ru,
Металлопрокат,Москва,,"Трубное Решение Москва, производственное объединение",tel:+79135339236,msk.truboproduct.ru,"https://instagram.com/msk.truboproduct.ru,https://wa.me/79135339236?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A,https://t.me/truboproduct"
Металлопрокат,Москва,,МАГИСТРАЛЬ,tel:+74956824000,tpkmag.ru,"https://vk.com/public144711159,https://instagram.com/tpk.magistral,https://wa.me/79256162900?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A"
Металлопрокат,Москва,,Северсталь,tel:+74959267766,www.severstal.com,"https://vk.com/severstal,https://twitter.com/Severstal,https://facebook.com/severstaloao,https://instagram.com/pao_severstal,https://youtube.com/user/OAOSeverstal"
Металлопрокат,Москва,,Mitsui & Co.Moscow,tel:+74959569600,www.mitsui.com,
Металлопрокат,Москва,,Новосталь-М,tel:+74996438304,novostal-m.ru,
Металлопрокат,Москва,,УВМ-СТАЛЬ,tel:+74951377545,uvm-steel.ru,
Металлопрокат,Москва,,Торговый дом ММК,tel:+74952292260,"www.tdmmk.ru,mmk-profil.ru",
Металлопрокат,Москва,,УРовшана,tel:+79265110311,urovshana.ru,"https://wa.me/79057739910?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A,https://wa.me/79265110311?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A"
Металлопрокат,Москва,,ПрофБизнесСталь,tel:+74951233718,pbsteel.ru,
Металлопрокат,Москва,,"ЧТПЗ, промышленная группа",tel:+74957753555,chelpipe.ru,
Металлопрокат,Москва,,Трубное Решение,tel:+74991104745,truboproduct.ru,"https://vk.com/truboproduct,https://instagram.com/truboproduct"
Металлопрокат,Москва,,Металлоцентр,tel:+74957302224,"detal-mc.ru,www.metallocenter.ru",https://wa.me/79855400100?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A
Металлопрокат,Москва,,Металлинвест,tel:+74951145298,m-invest.ru,
Металлопрокат,Москва,,Загорский Трубный Завод,tel:+74959880686,z-t-z.ru,"https://instagram.com/zagorskaya_truba,https://facebook.com/zagorskayatruba"
Металлопрокат,Москва,,МеталлТрейд,tel:88005001897,gkmt.ru,"https://vk.com/gkmetalltrade,https://instagram.com/metalltrade"
Металлопрокат,Москва,,ЕВРАЗ Металл Инпром,tel:88005553858,www.emi.evraz.com,
Металлопрокат,Москва,,Дипос,tel:+74955555101,www.dipos.ru,"https://facebook.com/613307782095825,https://instagram.com/_dipos_"
Металлопрокат,Москва,,ГК ГРАНД-СТЕЙЛ,tel:+74955405211,www.grandstail.ru,
Металлопрокат,Москва,,ВИЕР Групп,tel:+74956407404,vier-group.ru,
Металлопрокат,Москва,,КонкордМеталл МСК,tel:+74993505873,ko-met.ru,
Металлопрокат,Москва,,Метрополь,tel:+74952552988,tdmetropol.ru,
Металлопрокат,Москва,,Велунд Сталь,tel:+74994557295,gkws.ru,"https://vk.com/woland_steel,https://instagram.com/woland_steel,https://facebook.com/wolandsteel"
Металлопрокат,Москва,,АСТИМ,tel:+74995831275,as-tim.ru,
Металлопрокат,Москва,,"МЕТИНВЕСТ-СЕРВИС, производственно-коммерческая фирма",tel:+74952307033,pkf-m.ru,"https://vk.com/club190936496,https://instagram.com/metinvest_s,https://facebook.com/111123643757540,https://wa.me/79265484486?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A"
Металлопрокат,Москва,,БрокИнвестСервис,tel:+74959809880,brokinvest.ru,
Металлопрокат,Москва,remont3000@remont3000.ru,Ремонт 3000,tel:+74951202010,www.remont3000.ru,"https://facebook.com/remont3000,https://vk.com/remont3000msk,https://instagram.com/remont3000.ru,https://wa.me/79166343496?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A,viber://chat/?number=+79166343496"
Металлопрокат,Москва,,МЕТАЛЛСЕРВИС,tel:88005551914,"www.mc.ru,mc.ru,mc.ru","https://twitter.com/oaometallservis,https://facebook.com/oaometallservice,https://instagram.com/metallservice"
Металлопрокат,Москва,"msk@novametcom.com,info@novametcom.com",Новаметалл Трейд,tel:+74957754735,novametcom.ru,"https://facebook.com/novametaltrade,https://vk.com/public79574704,https://instagram.com/novametal_trade,https://twitter.com/novametaltrade"
Металлопрокат,Москва,,ПРОМРЕСУРС,tel:+74952035619,pr-metall.ru,
Металлопрокат,Москва,,"Атон Сталь, торгово-производственная компания",tel:+74959025007,www.aton-steel.ru,"https://vk.com/atonsteell,https://facebook.com/114785835847410,https://instagram.com/atonsteel"
Металлопрокат,Москва,,МетСнабТорг,tel:+74959759864,www.mstrg.ru,"https://instagram.com/metsnabtorg,https://wa.me/79151412213?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A"
Металлопрокат,Москва,,НВ-ГРУПП,tel:+74993993448,nv-g.ru,
Металлопрокат,Москва,,"Сталь-Про, компания",tel:+74952605459,"trubmarket.ru,sp-panel.ru",
Металлопрокат,Москва,,Метинвест Евразия,tel:+74957392626,,
Металлопрокат,Москва,,Нержавейка МСК,tel:+74955326965,msk-nerzhaveyka.ru,"https://wa.me/79032590037?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A,viber://chat/?number=+79032590037"
Металлопрокат,Москва,,МетПрием,tel:+79651062113,metpriem-msk.ru,https://wa.me/79680355343?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A
Металлопрокат,Москва,,"ВГТ-Центр, компания по продаже б/у стальных восстановленных труб",tel:+74954070877,vgt-centr.ru,
Металлопрокат,Москва,,СибГазСтройДеталь,tel:+74959339622,sgsd.ru,
Металлопрокат,Москва,,ГК Мост,tel:+79166084249,gk-most.org,
Металлопрокат,Москва,,АрселорМиттал,tel:+74955140640,ArcelorMittal.com,
Металлопрокат,Москва,,Мечел-Сервис,tel:88007009550,www.MechelService.ru,
Металлопрокат,Москва,,Нижегородский завод композитов,tel:88006001786,nzkt.ru,
Металлопрокат,Москва,,Блок Металл,tel:+74957808070,block-metal.ru,https://vk.com/blockmetall
Металлопрокат,Москва,,СВИСС СТИЛ,tel:+74956628801,,
Металлопрокат,Москва,,Форбилд,tel:+74954141434,форбилд.рф,"https://instagram.com/forbuild_official,https://wa.me/79637813125?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A,viber://chat/?number=+79637813125"
Металлопрокат,Москва,7909090@mail.ru,Технолом,tel:+79096559162,www.tehnolom.ru,
Металлопрокат,Москва,,Группа компаний Фаворит,tel:+74951277530,f-gk.ru,
Металлопрокат,Москва,,Ареал,tel:+74959819070,www.areal-metal.ru,
Металлопрокат,Москва,,Уралпромснаб,tel:+74959269269,uralpromsnab.ru,
Металлопрокат,Москва,,МАГМА,tel:+74955140280,hk-magma.ru,
Металлопрокат,Москва,,Сумитомо Корпорэйшн Центральная Евразия,tel:+74957972800,www.sumitomocorp.com,
Металлопрокат,Москва,,БВБ-Альянс,tel:+74994902031,bvb-alyans.ru,"https://vk.com/club74897049,https://facebook.com/320571534757488,https://instagram.com/bvballiance"
Металлопрокат,Москва,,УралСибТрейд-МСК,tel:+74959269740,uralsibtrade.ru,https://vk.com/llc_ust
Металлопрокат,Москва,,ИнтерметГрупп,tel:+74955653858,www.imgmet.ru,
Металлопрокат,Москва,,БАРХАН,tel:+74957489995,barhantrade.ru,
Металлопрокат,Москва,,Стальэкс,tel:+74956459822,steeleks.ru,
Металлопрокат,Москва,,Стальпром,tel:+79652705976,www.1stalprom.ru,"https://instagram.com/stalprom,https://wa.me/79652705976?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A"
Металлопрокат,Москва,,Safin,tel:+74951817512,"www.safin.com,safin.ru",
Металлопрокат,Москва,,APEX metal,tel:+74951280358,apex-metal.ru,
Металлопрокат,Москва,,Рудмет,tel:+74999782892,rudmet77.ru,
Металлопрокат,Москва,,Вторчермет,tel:+79267471385,"www.lommvtor.ru,lomochakovo.ru",https://vk.com/lomochakovo.ru
Металлопрокат,Москва,,Сталерон,tel:+74953747472,metalloprokat-staleron.ru,
Металлопрокат,Москва,,НЛМК,tel:+74957870086,"www.nlmk.com,nlmk.shop","https://instagram.com/nlmk_group,https://vk.com/nlmk_ru,https://facebook.com/nlmk.press,https://twitter.com/nlmk,https://youtube.com/user/nlmkonair"
Металлопрокат,Москва,,Акрос Сталь,tel:+74955076215,www.acrossteel.ru,
Металлопрокат,Москва,,МТК СПЛАВ,tel:+74951626270,www.mtk-splav.ru,
Металлопрокат,Москва,,БазМеталл,tel:+79160625015,bazmetall.ru,
Металлопрокат,Москва,,Меркаби,tel:+74951063010,www.merkabi.ru,
Металлопрокат,Москва,,ЧЕРМЕТСЕРВИС,tel:+74952205572,www.chermetservis.ru,"https://vk.com/chermetservis,https://facebook.com/chermetservis,https://instagram.com/chermetservis,https://wa.me/79852205572?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A,viber://chat/?number=+79852205572,https://t.me/chermetservis"
Металлопрокат,Воронежская область,"vrn-oyy1@ferost.ru,2281083@mail.ru",Демидов,tel:+74732281083,www.demidovsteel.ru,
Металлопрокат,Москва,,Веста Сталь,tel:+74951500577,www.vestastal.ru,
Металлопрокат,Москва,,БалтПромКомплект,tel:+74957883178,www.bpks.ru,
Металлопрокат,Москва,,Ганза Трейдинг Групп,tel:+74951366223,www.hansatg.com,
Металлопрокат,Москва,,"Металлосплав, торговая компания",tel:+74952043050,metallosplav-msk.ru,
Металлопрокат,Москва,,Сибирская Металлоторговая Компания,tel:88001005617,sibmtk.ru,"https://instagram.com/sibmtk,https://wa.me/79776210119?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A"
Металлопрокат,Москва,,Исток,tel:88001004433,www.istoksochi.ru,"https://facebook.com/Istokmarket,https://instagram.com/istokmarket"
Металлопрокат,Москва,,ГЮР-Сталь,tel:88002000659,"gur-steel.ru,gursteel.ru",
Металлопрокат,Москва,,Розмет,tel:+74951205252,rozmet.ru,"https://vk.com/rozmet.metall,https://instagram.com/rozmet.metall,https://facebook.com/rozmet.metall"
Металлопрокат,Москва,,Пункт приема цветного металлолома,tel:+79037259181,hotlom.ru,
Металлопрокат,Москва,,ИРБИСМЕТ,tel:+74951502236,www.irbismet.com,"https://instagram.com/irbismet,https://youtube.com/channel/UCaxxzRJ20NkAUuLTV_26Wkg"
Металлопрокат,Москва,,Строй Металл,tel:+74993980372,huva.ru,"https://instagram.com/huva.ru,https://facebook.com/gkstroymetall"
Металлопрокат,Москва,,СпецСтальПром,tel:+74952856296,www.sspmetall.ru,https://wa.me/79653310293?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A
Металлопрокат,Москва,,"М-Сервис, группа компаний",tel:+74956423043,m-servis.pro,
Металлопрокат,Москва,,Ферумтранс,tel:+74951981175,ferumtrans.ru,"https://instagram.com/ferumtrans,https://vk.com/ferumtrans,https://wa.me/79264777003?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A,viber://chat/?number=+79688058545,https://t.me/ferumtrans"
Металлопрокат,Москва,,Группа Метарус,tel:+74952342723,metarusgroup.ru,"https://instagram.com/metarusgroup,https://facebook.com/metarusgroup,https://youtube.com/channel/UCwTP5cOJ4EQCa-v5N4yXXgg,https://wa.me/79637508936?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A,viber://chat/?number=+79637508936"
Металлопрокат,Москва,,СИТИКРАС,tel:+79031872103,citykras.ru,"https://wa.me/79031872103?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A,https://wa.me/79647135725?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A"
Металлопрокат,Москва,,ЧЕРМЕТСЕРВИС,tel:+74952205572,www.chermetservis.ru,"https://vk.com/chermetservis,https://facebook.com/chermetservis,https://instagram.com/chermetservis,https://wa.me/79852205572?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A,viber://chat/?number=+79852205572,https://t.me/chermetservis"
Металлопрокат,Москва,,ТехноСтиль,tel:+74955404918,www.ts-panel.ru,"https://vk.com/tehnostil1,https://facebook.com/TehnoStil"
Металлопрокат,Москва,,Металлобаза,tel:+79160624280,metallobaza-td.ru,
Металлопрокат,Москва,,АбсолютСтройКомплект,tel:+74951200187,ask-gk.com,
Металлопрокат,Москва,,Адмирал,tel:+74953747286,admiral-met.ru,
Металлопрокат,Воронежская область,,ЕВРАЗ Металл Инпром,tel:88005553858,www.emi.evraz.com,
Металлопрокат,Воронежская область,,Хетек Воронеж,tel:+79204112929,xetek.ru,
Металлопрокат,Воронежская область,,ПРОМСНАБ,tel:+79107320661,promsnabvrn.pokupo.shop,viber://chat/?number=+79107320661
Металлопрокат,Воронежская область,,Королевский трубный завод,tel:+74732000429,www.ktzholding.com,
Металлопрокат,Воронежская область,,ГК Элеваторспецстрой,tel:+74732801301,elevatorsc.ru,
Металлопрокат,Воронежская область,,Стальторг,tel:+79191803884,www.st-vr.ru,"https://vk.com/st_vr,https://instagram.com/staltorg.voronezh,https://wa.me/79191803884?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A,viber://chat/?number=+79191803884"
Металлопрокат,Воронежская область,,ПерфоГрад,tel:88007777215,perfograd.com,https://instagram.com/perfograd_official
Металлопрокат,Воронежская область,,"Союзкомплект, группа компаний",tel:+74732022606,www.souzkomplekt.ru,
Металлопрокат,Воронежская область,,Металлоторг,tel:+74732333243,metallotorg.ru,"https://vk.com/public39218875,https://facebook.com/metallotorgtula,https://wa.me/79107329308?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A,viber://chat/?number=+79107329308"
Металлопрокат,Воронежская область,,КОРПОРАЦИЯ МЕТАЛЛИНВЕСТ,tel:+74732437239,metplus-vrn.ru,
Металлопрокат,Воронежская область,,Подгоренская,tel:+79042148016,stroybaza-36.ru,https://wa.me/79042148016?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A
Металлопрокат,Воронежская область,,Кровля и Забор,tel:+74732297173,krovlya-i-zabor.ru,
Металлопрокат,Воронежская область,,КОРПОРАЦИЯ МЕТАЛЛИНВЕСТ,tel:+74732075570,metplus-vrn.ru,
Металлопрокат,Воронежская область,,Протэк,tel:+74732100100,www.protecgroup.ru,
Металлопрокат,Воронежская область,,КОРПОРАЦИЯ МЕТАЛЛИНВЕСТ,tel:+74732027072,metplus-vrn.ru,
Металлопрокат,Воронежская область,,АТЭК,"tel:+74732112202,,,18",металл-воронеж.рф,https://instagram.com/metallvoronezh
Металлопрокат,Воронежская область,,Протэк,tel:+74732100100,www.protecgroup.ru,
Металлопрокат,Воронежская область,,Хетек Воронеж,tel:+79204112929,xetek.ru,
Металлопрокат,Воронежская область,,КОРПОРАЦИЯ МЕТАЛЛИНВЕСТ,tel:+74732399536,metplus-vrn.ru,
Металлопрокат,Воронежская область,,КОРПОРАЦИЯ МЕТАЛЛИНВЕСТ,tel:+74732396026,metplus-vrn.ru,
Металлопрокат,Воронежская область,,Протэк,tel:+74732100100,www.protecgroup.ru,
Металлопрокат,Воронежская область,,Протэк,tel:+74732100100,www.protecgroup.ru,
Металлопрокат,Воронежская область,,Протэк,tel:+74732100100,www.protecgroup.ru,
Металлопрокат,Воронежская область,,Каскад,tel:+74732000400,oookaskad.su,
Металлопрокат,Воронежская область,,Квартал,tel:+74732605133,td-kvartal.ru,"https://vk.com/tdkvartalvrn,https://instagram.com/tdkvartalvrn"
Металлопрокат,Воронежская область,,Квартал,tel:+74732218268,td-kvartal.ru,"https://vk.com/tdkvartalvrn,https://instagram.com/tdkvartalvrn"
Металлопрокат,Воронежская область,,Ярмарка строительных материалов,tel:+74732793888,i-yarmarka36.ru,"https://vk.com/i_yarmarka,https://instagram.com/i_yarmarka"
Металлопрокат,Воронежская область,,АВИА-СТАЛЬ,tel:+74732460278,,
Металлопрокат,Воронежская область,shifer-baza@mail.ru,База Шифер,tel:+74732214040,"bazashifer.ru,bazashifer.ru",
Металлопрокат,Москва,,Экоторг М,tel:+74951504537,,
